cd "C:\Users\nafis\OneDrive\Documents"

@"
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Property_Area,Loan_Status
LP001241,Male,Yes,0,Graduate,No,3717,0,120,Urban,Y
LP001243,Male,Yes,0,Graduate,No,2917,0,84,Semiurban,Y
LP001245,Male,Yes,0,Graduate,No,3814,0,120,Urban,Y
LP001249,Male,Yes,0,Graduate,No,4554,0,120,Urban,Y
LP001250,Male,Yes,0,Graduate,No,3583,0,96,Urban,Y
LP001253,Male,Yes,1,Graduate,No,3463,0,122,Rural,Y
LP001256,Male,Yes,0,Graduate,No,2583,2358,120,Urban,Y
LP001259,Male,Yes,0,Graduate,No,2661,0,120,Urban,Y
LP001260,Male,Yes,0,Graduate,No,16250,0,192,Rural,N
LP001263,Male,Yes,0,Graduate,No,3082,0,120,Urban,Y
LP001264,Male,Yes,0,Graduate,No,3075,0,81,Semiurban,Y
LP001265,Male,Yes,0,Graduate,No,2200,0,70,Semiurban,Y
LP001266,Male,Yes,1,Graduate,No,2566,0,74,Semiurban,Y
LP001267,Male,Yes,2,Graduate,No,2917,536,66,Rural,N
"@ | Set-Content -Encoding UTF8 loan_prediction.csv
